month,gross1,gross5,debt1,debt5,net1,net5,ltv1,ltv5
69,2888.726731136006,2102.629301219422,370.0202919527525,409.4922353776656,2518.7064391832537,1693.1370658417563,0.1280911371659029,0.1947524630899894
70,3016.5520644509425,2258.1797244807167,370.93286181393455,410.50215369977064,2645.619202637008,1847.677570780946,0.1229658410956185,0.18178453612418663
71,2992.2080238804197,2209.330965273606,371.8476823185804,411.51456275290593,2620.360341561839,1797.8164025207002,0.12427200226418511,0.18626207174077403
72,2977.5026190316944,2226.782058912564,372.7647590173839,412.5294686798862,2604.7378600143106,1814.252590232678,0.12519376360401313,0.18525812484825863
73,2982.958418820898,2219.137683893884,429.7720852684889,489.2442159940123,2553.186333552409,1729.8934678998717,0.14407578816950758,0.220465913199015
74,3022.3476554596564,2263.161755327909,430.83201917136654,490.4508242151927,2591.51563628829,1772.710931112716,0.14254879593123548,0.2167104596304613
75,3165.294234915217,2395.8816949962443,431.89456715718944,491.66040825775605,2733.3996677580276,1904.2212867384883,0.1364468940653657,0.2052106367708305
76,3177.129411232004,2326.57335733588,432.9597356729914,492.87297546088064,2744.1696755590124,1833.700381874999,0.13627387481994369,0.2118450182999006
77,3269.5475495612186,2435.6749998183213,434.0275311817063,494.0885331818452,2835.5200183795123,1941.5864666364762,0.1327484994796769,0.20285486906861533
78,3224.6208368302096,2394.177777697318,435.09796016220736,495.30708879607346,2789.522876668002,1898.8706889012446,0.13492995988635584,0.20687982881223294
79,3213.7893645426693,2389.6042853544272,436.1710291093464,496.52864969717893,2777.618335433323,1893.0756356572483,0.13571861115777098,0.2077869765886922
80,3361.8100902975298,2477.2137266256927,437.24674453399336,497.75322329700987,2924.5633457635363,1979.460503328683,0.13006289254587125,0.20093269222071464
81,3434.955195562775,2516.997486417478,438.32511296307575,498.980817025694,2996.630082599699,2018.0166693917838,0.12760722862682394,0.19824446377811414
82,3446.3444595258998,2487.9494134082825,439.4061409396182,500.2114383316839,3006.9383185862816,1987.7379750765986,0.12749919403008994,0.20105370134774408
83,3476.0918467411802,2473.517184998163,440.4898350227822,501.4450946818019,3035.602011718398,1972.072090316361,0.1267198493146087,0.20272553500863358
84,3425.354533612322,2444.417802019438,441.5762017879059,502.6817935612856,2983.778331824416,1941.7360084581526,0.1289140138501888,0.20564479326979154
85,3377.759662286261,2382.8938960359064,498.7532356203045,574.4044869980037,2879.0064266659565,1808.4894090379028,0.147657999824274,0.2410533209026057
86,3513.1198144027185,2447.609621138226,499.98329564915355,575.8211234213625,3013.136518753565,1871.7884977168635,0.1423188852254269,0.2352585634769588
87,3574.9712147006867,2471.0635898387054,501.2163893378698,577.2412536523105,3073.754825362817,1893.8223361863948,0.14020151750503926,0.23360032336925374
88,3652.6817957677404,2477.5774872663583,502.452524168277,578.66488630752,3150.2292715994636,1898.9126009588383,0.13755715725099696,0.23356076218871016
